Literal Sense,Human1,Human2,FTB,MM2020,RTV,PTB
"From the day you were born, you've been [invincible]","From the day you were born, you've been like a well-seasoned superhero.","From the day you were born, you've been like Superman.","From the day you were born, you've been like a superhero","From the day you were born, you've been like a son to me","From the day you were born, you've been like a ------","From the day you were born, you've been like a son"
"For centuries, the Tyrant has made life [miserable]","For centuries, the Tyrant has made life like an impatient storm reaching to be a hurricane.","For centuries, the Tyrant has made life like a dreary prison.","For centuries, the Tyrant has made life like a living hell","For centuries, the Tyrant has made life like a prison in this country","For centuries, the tyrant has made life like a i hate","For centuries, the Tyrant has made life like a prison"
You’ve discovered that your body is [completely indestructible],You’ve discovered that your body is like fortified steel.,You’ve discovered that your body is like bulletproof steel.,You’ve discovered that your body is completely like a mechanical skeleton,You’ve discovered that your body is completely like a virus,You’ve discovered that your body is completely like a mountain be high valley,You’ve discovered that your body is completely like a rock
Seemingly honorable it would be easy to mistake you as [chivalrous],Seemingly honorable it would be easy to mistake you to be like a valiant knight.,Seemingly honorable it would be easy to mistake you as a knight in shining armor.,Seemingly honorable it would be easy to mistake you as like a knight,Seemingly honorable it would be easy to mistake you as like a hero,Seemingly honorable it would be easy to mistake you as like a mountain be high valley,Seemsingly honorable it would be easy to mistake you as like a chivalrous friend
"A few weeks later, a letter arrives, explaining that you are [unique]","A few weeks later, a letter arrives, explaining that you are like a daisy in a field of sunflowers.","A few weeks later, a letter arrives explaining that you are like a diamond in the rough.","A few weeks later, a letter arrives, explaining that you are like a different person","A few weeks later, a letter arrives, explaining that you are like a god to them","A few weeks later, a letter arrives, explaining that you are like a every snowflake","A few weeks later, a letter arrives, explaining that you are like a child to your father"
"After taking a pill, you suddenly realize that it all was [intentional]","After taking a pill, you suddenly realize that it all was like a refined battle plan.","After taking a pill, you suddenly realize that it all was like predestination.","After taking a pill, you suddenly realize that it all was like a conscious act","After taking a pill, you suddenly realize that it all was like a dream","After taking a pill, you suddenly realize that it all was like a wood furniture","After taking a pill, you suddenly realize that it all was like a dream"
"Unfortunately, their ideas about your past life are [hilariously inaccurate]","Unfortunately, their ideas about your past life are like drunken bat swings at a dart board.","Unfortunately, their ideas about your past life are like unfounded teenage rumors.","Unfortunately, their ideas about your past life are hilariously like a reverse timeline","Unfortunately, their ideas about your past life are hilariously like a child's","Unfortunately, their ideas about your past life are hilariously like a antique map","Unfortunately, their ideas about your past life are hilariously like a real person"
A rather mundane day changes when you unearth something [quite interesting],A rather mundane day changes when you unearth something like a ghost's treasure.,A rather mundane day changes when you unearth something like an enticing secret.,A rather mundane day changes when you unearth something quite like a treasure,A rather mundane day changes when you unearth something quite like a treasure,A rather mundane day changes when you unearth something quite like a genetics,A rather mundane day changes when you unearth something quite like a secret treasure
"But times are hard, and silver bullets are [expensive]","But times are hard, and silver bullets are like polished diamonds these days.","But times are hard, and silver bullets are like priceless rubies.","But times are hard, and silver bullets are like a luxury item","But times are hard, and silver bullets are like a good deal","But times are hard, and silver bullets are like a diamond","But times are hard, and silver bullets are like a bullet"
"Whenever the sun goes away, he stays up there keeping the magic [alive]","Whenever the sun goes away, he stays up there keeping the magic like a sacred burning flame.","Whenever the sun goes away, he stays up there keeping the magic burning like a hearth.","Whenever the sun goes away, he stays up there keeping the magic like a flame","Whenever the sun goes away, he stays up there keeping the magic like a lighthouse","Whenever the sun goes away, he stays up there keeping the magic like a flower","Whenever the sun goes away, he stays up there keeping the magic like a lighthouse, forever"
The majority of law enforcement has become [irrelevant],The majority of law enforcement has become like a phonograph at a smartphone convention.,The majority of law enforcement has become like old news.,The majority of law enforcement has become like a footnote in history,The majority of law enforcement has become like a bunch of cult members,The majority of law enforcement has become like a hippie,The majority of law enforcement has become like a mafia.The majority are irrelevant
Your guardian angel is just a little too [enthusiastic],Your guardian angel is just a little too much like a kid on Christmas morning.,Your guardian angel is just a little too much like a nerd at a comic convention.,Your guardian angel is just a little too like a kid on Christmas morning,Your guardian angel is just a little too like a fairy tale villain,Your guardian angel is just a little too like a genetics,Your guardian angel is just a little too like a little angel
"The sun is nowhere to be found, and the streets are [eerily quiet]","The sun is nowhere to be found, and the streets are like a vacant, air-choked library.","The sun is nowhere to be found, and the streets are like a ghost town.","The sun is nowhere to be found, and the streets are eerily like a graveyard","The sun is nowhere to be found, and the streets are eerily like a ghost town","The sun is nowhere to be found, and the streets are eerily like a i hate","The sun is nowhere to be found, and the streets are eerily like a ghost town"
After a few weeks he’s starting to feel a [little lonely],After a few weeks he’s starting to feel a tiger in the wild.,After a few weeks he’s starting to feel like an outcast.,After a few weeks he’s starting to feel a little like a lonely man,After a few weeks he’s starting to feel a little like a real person,After a few weeks he’s starting to feel a little like a go to movie alone,After a few weeks he’s starting to feel a little like a little kid
You decline but the man is [persistent],You decline but the man is like a buzzing killer bee.,You decline but the man is like a cocky salesman.,You decline but the man is like a persistent friend,You decline but the man is like a brother to you,You decline but the man is like a this group,You decline but the man is like a...
Last night you learned from your wife that lucid dreams are [very rare],Last night you learned from your wife that lucid dreams are like sunny days in London.,Last night you learned from your wife that lucid dreams are like hen's teeth.,Last night you learned from your wife that lucid dreams are like a unicorn's wet dreams,Last night you learned from your wife that lucid dreams are like a game of chess,Last night you learned from your wife that lucid dreams are like a dinosaur bone,Last night you learned from your wife that lucid dreams are like a nightmare
"As you approach him, his eyes begin to shed tears that appear [luminescent]","As you approach him, his eyes begin to shed tears that appear like trembling stars.","As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.","As you approach him, his eyes begin to shed tears that appear like a thousand tiny flames","As you approach him, his eyes begin to shed tears that appear like a waterfall","As you approach him, his eyes begin to shed tears that appear like a buss pass","As you approach him, his eyes begin to shed tears that appear like a waterfall of light"
